date,quotation,speaker,qids,probas
2016-09-07,Corbyn shows his true colours. Rather than attacking divided Brexit Tory govt he's putting jobs at risk. Hopeless.,Tim Farron,['Q304251'],"[['Tim Farron', '0.8865'], ['None', '0.0683'], ['Nicola Sturgeon', '0.0273'], ['THERESA May', '0.009'], ['Donald Tusk', '0.0089']]"
2016-08-11,"People are nervous and universities are being defensive; if EU students do not turn up, universities want to make sure they fill their places. There is a lot of uncertainty post-Brexit. Students will have a lot of choice this summer.",Steve Smith,"['Q11894442', 'Q16885757', 'Q23418614', 'Q2347298', 'Q23978380', 'Q28675476', 'Q3499110', 'Q3499112', 'Q3499118', 'Q3499120', 'Q3499123', 'Q376304', 'Q463200', 'Q51546050', 'Q5368718', 'Q7613961', 'Q7613962', 'Q7613964', 'Q7613965', 'Q7613967', 'Q7613968', 'Q7613969', 'Q7613970', 'Q7613971', 'Q7613972', 'Q7613974', 'Q7613975', 'Q7613977', 'Q7613978', 'Q7613979', 'Q7613980', 'Q7613981', 'Q7613982', 'Q7613983', 'Q9345803', 'Q943448']","[['Steve Smith', '0.887'], ['None', '0.113']]"
2016-07-05,best placed to help forge a great post Brexit future for Britain and Europe,Boris Johnson,['Q180589'],"[['Boris Johnson', '0.7713'], ['Andrea Leadsom', '0.1623'], ['None', '0.0664']]"
2016-12-14,"In the run-up to the Brexit vote earlier this year, several Fed policymakers cited it as a reason that they were reluctant to raise rates in June because of the uncertainty associated with that vote. In the run-up to the presidential election, I have not heard any Fed policymaker give that as a reason that they might want to delay raising rates in November. Could you explain why the Fed regards Brexit as a greater danger to the American economy than the presidential election that's actually happening here?",Janet Yellen,['Q263725'],"[['Janet Yellen', '0.6759'], ['None', '0.3241']]"
2016-07-25,"On the issue of Brexit, I speak for the people of the north and the people of the north who are unionists, nationalists and republicans made it clear that they see their future in Europe.",Martin McGuinness,['Q57689'],"[['Martin McGuinness', '0.924'], ['None', '0.076']]"
2016-04-29,"The unknowns of Brexit are unwelcome at a time when Europe and the world economy need certainty and stability,",Andrew Mackenzie,"['Q15042554', 'Q21456523', 'Q4275769', 'Q43914061']","[['Andrew Mackenzie', '0.7529'], ['None', '0.19'], ['Michael Gove', '0.0571']]"
2016-09-13,There are signs the post-Brexit `Goldilocks' backdrop of better growth data and falling rates may be turning and investors do not seem positioned for it.,Raghuram Rajan,['Q981496'],"[['Raghuram Rajan', '0.6554'], ['None', '0.3446']]"
2016-05-12,"With the pound still far below its previous peak, and demand for protection against further falls in sterling high, there's little evidence that the Brexit worries which had been putting the pound under pressure have gone away,",None,[],"[['None', '0.9358'], ['George Osborne', '0.0642']]"
2016-08-30,"Brexit has little resonance with U.S. voters who find it perplexing, or who simply haven't noticed what is going on in Britain and Europe,",None,[],"[['None', '0.6932'], ['Donald Trump', '0.2811'], ['Nigel Farage', '0.0257']]"
2016-07-23,"Brexit means us being more outward-looking, more engaged, more energetic, more enthusiastic and committed on the world stage than ever before.",Boris Johnson,['Q180589'],"[['Boris Johnson', '0.7609'], ['None', '0.2331'], ['Ban Ki-moon', '0.006']]"
2016-07-20,"Having disappointed the markets once, the Committee may now have to work harder than otherwise to sustain the sanguine response to the Brexit vote. Another disappointment could be costly,",None,[],"[['None', '0.8292'], ['Philip Hammond', '0.0643'], ['Gertjan Vlieghe', '0.0591'], ['Andy Haldane', '0.0475']]"
2016-07-18,"I believe there is some concern following Brexit on the economic conditions which will prevail in the EU and euro area in particular,",Pierre Moscovici,['Q356919'],"[['Pierre Moscovici', '0.5006'], ['None', '0.246'], ['Euclid Tsakalotos', '0.2381'], ['Alexis Tsipras', '0.0131'], ['Recep Tayyip Erdogan', '0.0012'], ['Johnny Manziel', '6.0E-4'], ['Taylor Swift', '5.0E-4']]"
2016-07-08,"It's paradoxical that after Brexit, Europe's banking authorities are effectively helping destabilise the market by opposing Italy's attempt to strengthen the financial system and safeguard its customers,",Bruno Valentini,['Q28946229'],"[['Bruno Valentini', '0.8099'], ['None', '0.1901']]"
2016-05-11,"One of the things that business really needs is continuity, and the risk associated with Brexit and what might happen to relationships with European partners and currency -- these are things that concern us.",David Cameron,"['Q1173911', 'Q16195447', 'Q18719363', 'Q192', 'Q47345547', 'Q51808902', 'Q5232111']","[['David Cameron', '0.3132'], ['None', '0.2715'], ['Grant Hardy', '0.2348'], ['Andy Wood', '0.1673'], ['Luke Morris', '0.0132']]"
2016-09-11,"In terms of support for independence, most polls since the Brexit vote have shown a majority for independence, and all show increased support since September 2014.",Ruth Davidson,['Q2177593'],"[['Ruth Davidson', '0.549'], ['None', '0.451']]"
2016-08-21,"One of the lessons that Europe is learning about Brexit (Britain's exit from the European Union) is you just can't have the political elites have what they think is an acceptable model without bringing along the rest of the population,",Bryan Murphy,['Q20745074'],"[['Bryan Murphy', '0.851'], ['None', '0.149']]"
2016-08-28,"Orlando is the top US destination as hoteliers are offering bigger discounts due to Brexit and the strength of the U.S. dollar,",None,[],"[['None', '0.9004'], ['Pam Walker', '0.0996']]"
2016-07-05,"The irony of the Brexit vote is that since then [ we ] have become more like Europe, not less,",None,[],"[['None', '0.7804'], ['Mark Carney', '0.2196']]"
2016-04-28,"The responsibility borne by British voters on June 23 is very serious indeed. It will be an act of intergenerational responsibility. Like Us on Facebook In some respects, Brexit would be akin to a tax on GDP, imposing a persistent and rising cost on the economy that would not be incurred if the UK remained in the EU. By 2020, GDP would be over 3% smaller than with continued EU membership, equivalent to a cost per household of & pound; 2,200.00 at today's prices. The rest of the EU would see GDP shaved by one percentage point by the decade's end.",Jose Angel Gurria,['Q948143'],"[['Jose Angel Gurria', '0.8103'], ['None', '0.1897']]"
2016-09-13,It is only two months since the Brexit vote. It takes much longer than that for the impact of currency weakness to feed through to end customer prices.,Alan Clarke,['Q15791736'],"[['Alan Clarke', '0.8369'], ['None', '0.1631']]"
